,date_dob,fjc_id,fl_initial,fml_initial,id,name_first,name_last,name_middle
0,1732-02-22,,gw,gw,1,George,Washington,
1,1790-03-29,,jt,jt,10,John,Tyler,
2,1917-01-03,42.0,aa,aja,100,Aldon,Anderson,Junior
3,1925-01-01,710.0,we,wbe,1000,William,Enright,Benner
4,1931-05-28,711.0,re,rae,1001,Richard,Enslen,Alan
5,1954-01-01,2933.0,je,jne,1002,Joan,Ericksen,N.
6,1959-01-01,2983.0,re,rre,1003,Ralph,Erickson,R.
7,1888-08-27,712.0,he,hwe,1004,Herbert,Erskine,Wilson
8,1813-09-13,713.0,je,je,1005,John,Erskine,
9,1863-05-27,714.0,re,rte,1006,Robert,Ervin,Tait
10,1926-03-02,715.0,se,sje,1007,Samuel,Ervin,James
11,1923-08-23,716.0,re,rce,1008,Richard,Erwin,Cannon
12,1920-10-26,717.0,je,jee,1009,Jesse,Eschbach,Ernest
13,1929-01-01,43.0,ga,gra,101,George,Anderson,Ross
14,1903-10-24,718.0,je,jee,1010,Joe,Estes,Ewing
15,1870-10-18,719.0,we,wle,1011,William,Estes,Lee
16,1917-07-31,720.0,le,lbe,1012,Luther,Eubanks,Boyd
17,1865-05-21,721.0,be,bde,1013,Beverly,Evans,Daniel
18,1876-03-19,722.0,ee,eae,1014,Evan,Evans,Alfred
19,1943-01-01,723.0,oe,ode,1015,Orinda,Evans,Dale
20,1940-03-25,724.0,te,tte,1016,Terence,Evans,Thomas
21,1842-09-18,725.0,we,we,1017,Walter,Evans,
22,1870-04-17,3302.0,we,whe,1018,Walter,Evans,Howard
23,1849-10-23,2707.0,he,hge,1019,Hamilton,Ewart,Glover
24,1861-09-01,44.0,ga,gwa,102,George,Anderson,Weston
25,1848-06-17,726.0,ne,ne,1020,Nathaniel,Ewing,
26,1947-01-01,727.0,de,dae,1021,David,Ezra,Alan
27,1942-01-01,728.0,df,daf,1022,David,Faber,A.
28,1934-01-01,729.0,gf,ggf,1023,George,Fagg,Gardner
29,1892-08-27,730.0,cf,cf,1024,Charles,Fahy,
30,1969-01-01,3461.0,kf,kpf,1025,Katherine,Failla,Polk
31,1949-01-01,3133.0,vf,vbf,1026,Valerie,Fairbank,Baker
32,1912-12-25,731.0,tf,tef,1027,Thomas,Fairchild,Edward
33,1879-11-15,732.0,gf,glf,1028,Guy,Fake,Leverne
34,1939-01-01,733.0,ef,eef,1029,Eldon,Fallon,E.
35,1879-11-05,45.0,ha,hba,103,Harry,Anderson,Bennett
36,1864-10-03,734.0,cf,cbf,1030,Charles,Faris,Breckenridge
37,1945-01-01,735.0,jf,jjf,1031,Joseph,Farnan,James
38,1856-09-06,736.0,ef,esf,1032,Edward,Farrington,Silsby
39,1930-01-01,737.0,jf,jjf,1033,Joseph,Farris,Jerome
40,1943-01-01,738.0,pf,pcf,1034,Patricia,Fawsett,C.
41,1929-01-01,739.0,pf,ptf,1035,Peter,Fay,Thorp
42,1888-09-24,740.0,jf,jaf,1036,James,Fee,Alger
43,1948-01-01,2823.0,gf,gaf,1037,Gary,Feess,Allen
44,1917-12-03,741.0,jf,jf,1038,John,Feikens,
45,1920-06-22,742.0,wf,wf,1039,Wilfred,Feinberg,
46,1922-01-19,46.0,ja,jba,104,J.,Anderson,Blaine
47,1965-01-01,3287.0,gf,gsf,1040,Gary,Feinerman,Scott
48,1934-01-01,743.0,mf,mlf,1041,Martin,Feldman,Leach-Cross
49,1947-01-01,744.0,gf,gaf,1042,Gary,Fenner,A.
50,1920-10-31,745.0,wf,wjf,1043,Warren,Ferguson,John
51,1938-05-11,746.0,wf,wdf,1044,Wilkie,Ferguson,D.
52,1937-01-01,747.0,ff,fff,1045,Ferdinand,Fernandez,Francis
53,1912-08-28,748.0,jf,jbf,1046,Juan,Fernandez-Badillo,B.
54,1946-01-01,3026.0,sf,sjf,1047,Sandra,Feuerstein,J.
55,1910-03-22,749.0,jf,jaf,1048,John,Field,A.
56,1803-12-31,750.0,rf,rsf,1049,Richard,Field,Stockton
57,1949-01-01,47.0,ja,jfa,105,Joseph,Anderson,Fletcher
58,1816-11-04,751.0,sf,sjf,1050,Stephen,Field,Johnson
59,1951-07-27,3042.0,pf,psf,1051,Phillip,Figa,S.
60,1966-01-01,3049.0,mf,mrf,1052,Mark,Filip,R.
61,1930-01-01,752.0,ef,elf,1053,Edward,Filippine,Louis
62,1927-10-01,753.0,sf,sgf,1054,Sherman,Finesilver,Glenn
63,1837-04-06,754.0,gf,gaf,1055,Gustavus,Finkelnburg,Adolphus
64,1886-06-25,755.0,pf,pjf,1056,Philip,Finnegan,J.
65,1918-05-12,756.0,rf,rf,1057,Robert,Firth,
66,1951-01-01,3045.0,df,dsf,1058,Dale,Fischer,S.
67,1858-08-17,3304.0,if,iff,1059,Israel,Fischer,Fredrick
68,1948-01-01,2928.0,pa,pa,106,Percy,Anderson,
69,1951-01-01,3136.0,nf,nbf,1060,Nora,Fischer,Barry
70,1942-01-01,757.0,af,ajf,1061,Allen,Fish,Joe
