district,district_name
90,DC
00,ME
01,MA
02,NH
03,RI
04,PR
05,CT
06,NYN
07,NYE
08,NYS
09,NYW
10,VT
11,DE
12,NJ
13,PAE
14,PAM
15,PAW
16,MD
17,NCE
18,NCM
19,NCW
20,SC
22,VAE
23,VAW
24,WVN
25,WVS
26,ALN
27,ALM
28,ALS
29,FLN
3A,FLM
3C,FLS
3E,GAN
3G,GAM
3J,GAS
3L,LAE
3N,LAM
36,LAW
37,MSN
38,MSS
39,TXN
40,TXE
41,TXS
42,TXW
43,KYE
44,KYW
45,MIE
46,MIW
47,OHN
48,OHS
49,TNE
50,TNM
51,TNW
52,ILN
53,ILC
54,ILS
55,INN
56,INS
57,WIE
58,WIW
60,AKE
61,AKW
62,IAN
63,IAS
64,MN
65,MOE
66,MOW
67,NE
68,ND
69,SD
7-,AK
70,AZ
71,CAN
72,CAE
73,CAC
74,CAS
75,HI
76,IDD
77,MT
78,NV
79,OR
80,WAE
81,WAW
82,CO
83,KS
84,NM
85,OKN
86,OKE
87,OKW
88,UT
89,WY
91,VI
93,GU
94,NMI
