result,docket_padded,docket,district_name
NONE,7701739,7701739,dc
NONE,7801294,7801294,dc
NONE,8202907,8202907,dc
NONE,8300431,8300431,dc
NONE,8300450,8300450,dc
NONE,8301234,8301234,dc
NONE,8302379,8302379,dc
NONE,8303329,8303329,dc
NONE,8400115,8400115,dc
NONE,8400884,8400884,dc
NONE,8401220,8401220,dc
NONE,8401613,8401613,dc
NONE,8402620,8402620,dc
NONE,8402675,8402675,dc
NONE,8402832,8402832,dc
NONE,8403508,8403508,dc
NONE,8403524,8403524,dc
NONE,7001002,7001002,dc
NONE,7202408,7202408,dc
NONE,7702021,7702021,dc
NONE,7800809,7800809,dc
NONE,7901182,7901182,dc
NONE,8200151,8200151,dc
NONE,8200880,8200880,dc
NONE,8301068,8301068,dc
NONE,8301137,8301137,dc
NONE,8301681,8301681,dc
NONE,8301688,8301688,dc
NONE,8301958,8301958,dc
NONE,8302386,8302386,dc
NONE,8302978,8302978,dc
NONE,8303038,8303038,dc
NONE,8303317,8303317,dc
NONE,8303328,8303328,dc
NONE,8303427,8303427,dc
NONE,8400438,8400438,dc
NONE,8401771,8401771,dc
NONE,7101874,7101874,dc
NONE,7202403,7202403,dc
NONE,7202405,7202405,dc
NONE,7202406,7202406,dc
NONE,7202407,7202407,dc
NONE,7401698,7401698,dc
NONE,7700093,7700093,dc
NONE,7700131,7700131,dc
NONE,7701243,7701243,dc
NONE,7701739,7701739,dc
NONE,7800545,7800545,dc
NONE,7800808,7800808,dc
NONE,7801293,7801293,dc
NONE,7802216,7802216,dc
NONE,7901549,7901549,dc
NONE,7902721,7902721,dc
NONE,8001096,8001096,dc
NONE,8002890,8002890,dc
NONE,8003317,8003317,dc
NONE,8100269,8100269,dc
NONE,8101492,8101492,dc
NONE,8102473,8102473,dc
NONE,8102519,8102519,dc
NONE,8200324,8200324,dc
NONE,8201059,8201059,dc
NONE,8202131,8202131,dc
NONE,8202459,8202459,dc
NONE,8202818,8202818,dc
NONE,8202886,8202886,dc
NONE,8300019,8300019,dc
NONE,7000822,7000822,dc
NONE,7001106,7001106,dc
NONE,7001514,7001514,dc
NONE,7002018,7002018,dc
NONE,7002174,7002174,dc
NONE,7002451,7002451,dc
NONE,7002454,7002454,dc
NONE,7002594,7002594,dc
NONE,7002964,7002964,dc
NONE,7003077,7003077,dc
NONE,7003154,7003154,dc
NONE,7003588,7003588,dc
